1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10241 Station less eqal than 60% area error (49 without provided area)  ,,,,,,,,,,10241 station sorted by area error,,,,,,,,,,10241 station sorted by distance for provided location,,,,,,,,,,228 Station with no location,,,,,,,,,,,108 Station less than 60% area eror,,,,,,,
No,GRDC_No,lat,lon,newlat,newlon,GRDCarea,area,Distance,AreaError,No,GRDC_No,lat,lon,newlat,newlon,GRDCarea,area,Distance,AreaError,No,GRDC_No,lat,lon,newlat,newlon,GRDCarea,area,Distance,AreaError,,No,grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,No, GRDC_No,lat,lon,newlat,newlon,GRDCarea,area
1,1104150,36.02,0.27,36.02,0.271667,43750,46157,185,5.2,1,4113361,47.4328,-98.0276,47.4328,-98.0276,16757,6778,0,59.6,1,2911734,58.37,75.43,58.84833,69.3016,9970,9959,680807,0.1,1,38,1134320,1,1341,BANIFING,KOUORO 1,ML,12.02,-6.68,-999,1,1104480,36.65,3.42,36.649167,3.4175,829,94
2,1104200,35.5,0.68,35.4975,0.68,6635,5456,226,17.8,2,1434390,9.44,-7.45,9.5525,-7.505833,1570,647,13786,58.8,2,2907007,54.51,109.81,50.489246,105.118227,5120,5047,593166,1.4,2,41,1134420,1,1341,DIAKA,KARA,ML,14.17,-5.02,-999,2,1112110,14.45,-11.28,14.5149,-11.21088,25000,95631
3,1104300,35.87,1.12,35.88102,1.10408,2398,2177,2026,9.2,3,1286640,-6.3,35.0833,-6.190833,35.164166,9669,4108,15023,57.5,3,4214270,58.1208,-94.625,55.677403,-98.960296,287000,274155,504933,4.5,3,107,1159547,1,1591,MOOIRIVIER,HOOGEKRAAL,ZA,-26.8805,26.96428,-999,3,1134705,16.13,-3.22,16.130833,-3.219167,362840,1455
4,1104450,36.67,2.82,36.6675,2.82,1912,1887,223,1.3,4,1993651,-14.1789,33.4124,-14.118056,33.536611,616,273,15264,55.7,4,6457880,50.8208,18.6625,52.599981,14.607406,109811,108203,465824,1.5,4,233,1160458,1,1600,GROOTRIVIER,ROOIWAL,ZA,-34.03197222,24.19552778,-999,4,1160684,-32.5164,28.0181,-32.505557,27.99056,484,112
5,1104500,36.62,3.58,36.620833,3.580833,4149,3606,119,13.1,5,6731755,68.41,15.71,68.405833,15.709167,67,30,194,55.2,5,5607450,-21.3331,116.156,-22.561012,119.846679,18371,17171,428565,6.5,5,293,1160693,1,1602,SWART-KEIRIVIER,HOTFIRE,ZA,-32.17377778,27.37230556,-999,5,1286661,-8.9,37.1167,-8.893333,37.136667,788,151
6,1104530,36.8,3.87,36.801667,3.870833,2501,2366,175,5.4,6,1160376,-33.5022,21.6228,-33.496585,21.625766,7805,17386,615,55.1,6,2311495,50.63,78.4,50.599312,74.910618,4020,4152,387327,3.2,6,312,1160743,1,1600,MBASHE,GXWALI BOMVU,ZA,-31.79966667,28.33302778,-999,6,1288170,-11.2708,38.6667,-11.2775,38.651667,716,258
7,1104600,36.42,4.6,36.415833,4.599167,4309,4043,384,6.2,7,1837800,11.5333,13.6833,11.5325,13.68,4750,2150,376,54.7,7,2911100,55.02,73.3,57.87837,70.38794,769000,607552,364615,21.0,7,419,1196423,1,1961,WATERKLOOFSPRUIT,RIETVALLEI,ZA,-25.73486,27.21425,-999,7,1316100,5.3,-9.3,5.2825,-9.300833,761,111
8,1104700,36.23,6.3,36.240833,6.3,1220,1220,970,0.0,8,4208555,59.8764,-111.5208,59.691024,-111.252934,2020,4440,31494,54.5,8,2903642,60.27,114.73,60.122652,111.585915,11700,11700,349089,0.0,8,592,1259370,1,1591,AUOB,STAMPRIET,NA,-24.31666667,18.43333333,-999,8,1324500,6.43,-8.63,6.43,-8.641667,683,131
