grdc_no	wmo_reg	sub_reg	river	station	country	lat	long	area	altitude	d_start	d_end	d_yrs	d_miss	m_start	m_end	m_yrs	m_miss	t_start	t_end	t_yrs	lta_discharge	r_volume_yr	r_height_yr
1104150	1	1041	CHELIF, OUED	SIDI BELATAR	DZ	36.02	0.27	43750	2	1978	2001	24	58	1976	1977	2	0	1976	2001	26	15.027	0.473891472	10.83180507
1104200	1	1041	MINA, OUED	OUED EL-ABTAL	DZ	35.5	0.68	6635	205					1976	1978	3	0	1976	1978	3	2.578	0.081299808	12.25317378
1104300	1	1041	GHIOU, OUED	AMMI MOUSSA	DZ	35.87	1.12	2398	140					1976	1979	4	0	1976	1979	4	3.195	0.10075752	42.01731443
1104450	1	1040	MAZAFRAN, OUED	FER A CHEVAL	DZ	36.67	2.82	1912	10	1979	1995	17	0	1976	1978	3	0	1976	1995	20	3.379	0.106560144	55.73229289
1104480	1	1040	BOU DOUAOU, OUED	KEDDARA	DZ	36.65	3.42	829	60					1976	1979	4	0	1976	1979	4	0.354	0.011163744	13.4665187
1104500	1	1040	ISSER, OUED	LAKHDARIA	DZ	36.62	3.58	4149	90					1976	1979	4	0	1976	1979	4	6.387	0.201420432	48.54674187
1104530	1	1040	SEBAOU, OUED	BAGHLIA	DZ	36.8	3.87	2501	20					1976	1979	4	0	1976	1979	4	17.581	0.554434416	221.6850924
1104600	1	1040	BOU SELLAM, OUED	SIDI YAHIA	DZ	36.42	4.6	4309	220	1988	1997	10	0	1976	1978	3	0	1976	1997	22	3.005	0.09476568	21.99249942
1104700	1	1040	RHUMEL, OUED	OUED ATHMANIA	DZ	36.23	6.3	1220	710					1976	1978	3	0	1976	1978	3	0.085	0.00268056	2.197180328
1104800	1	1040	MELAH, OUED EL	BOUCHEGOUF	DZ	36.45	7.72	552	95	1978	2003	26	8	1976	1977	2	0	1976	2003	28	2.881	0.090855216	164.5927826
1107700	1	1071	TAFNA, OUED	PIERRE DU CHAT	DZ	35.15	-1.45	7245	60	1979	2001	23	2	1976	1979	4	17	1976	2001	26	2.567	0.080952912	11.17362484
1107800	1	1071	ISSER, OUED	BENSEKRANE	DZ	35.07	-1.22	1118	287	1979	1999	21	0	1976	1978	3	0	1976	1999	24	0.652	0.020561472	18.39129875
1112100	1	1121	SENEGAL FLEUVE	KAYES	ML	14.45	-11.28	157400	20	1981	1990	10	70	1951	1990	40	0	1951	1990	40	200.748	6.330788928	40.22102241
1112110	1	1121	KOLINBINE	KABATE	ML	14.31	-11.13	25000	-999	1981	1990	10	71	1981	1990	10	71	1981	1990	10	5.757	0.181552752	7.26211008
1112200	1	1121	FALEME RIVIERE	GOURBASSY	ML	13.23	-11.38	15000	-999	1981	1990	10	72	1954	1990	37	0	1954	1990	37	57.429	1.811080944	120.7387296
1112300	1	1121	SENEGAL FLEUVE	GALOUGO	ML	13.83	-11.13	127000	69	1981	1990	10	70	1905	1990	86	35	1905	1990	86	189.209	5.966895024	46.98342539
1112320	1	1121	BAKOYE	OUALIA	ML	13.36	-9.23	84400	-999	1981	1990	10	70	1951	1990	40	29	1951	1990	40	31.979	1.008489744	11.94893062
1112330	1	1121	BAOULE	SIRAMAKANA	ML	13.34	-9.53	58000	-999	1981	1990	10	73	1972	1990	19	61	1972	1990	19	8.805	0.27767448	4.787491034
1112340	1	1121	BAKOYE	TOUKOTO	ML	13.45	-9.88	16000	-999	1987	1990	4	50	1952	1990	39	42	1952	1990	39	16.967	0.535071312	33.441957
1112350	1	1121	BAFING	DIBIA	ML	13.14	-10.48	33000	-999	1981	1990	10	82	1951	1990	40	20	1951	1990	40	186.401	5.878341936	178.1315738
